"","link","section","word","linenumber"
"119","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","opera",278
"120","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","medico",280
"121","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","base",282
"122","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","pieve",284
"123","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","porto",285
"124","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","morone",286
"125","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","pavia",287
"126","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","chignolo",289
"127","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","pavia",291
"128","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","moglie",293
"129","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","pediatra",296
"130","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","lavora",298
"131","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","zona",300
"132","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","codogno",302
"133","https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_i_19_sbarcati_dalla_diamond_princess_in_giappone-249225700/","cronaca","lodi",303
